block_id,property_id,base_property_id,building_address,postcode,parking_spaces,longitude,latitude
735,110444,110444,100-110 Kings Way SOUTHBANK VIC 3006,3006,15,144.96166445403145,-37.8279496529
76,589841,105749,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,3000,1150,144.965725053002,-37.81067861705
113,110685,108118,Queen Victoria Market Car Park Queen Victoria Market 391 Queen Street MELBOURNE VIC 3000,3000,564,144.9576272223,-37.807832574221266
115,104101,104101,58-64 Franklin Street MELBOURNE VIC 3000,3000,360,144.96081552815,-37.80741705045211
241,573377,573377,Carpark Melbourne University 220 Berkeley Street CARLTON VIC 3053,3053,1136,144.96070112606373,-37.8002509946
801,110325,110325,2 Riverside Quay SOUTHBANK VIC 3006,3006,575,144.96329106844613,-37.82131723165
802,613006,613006,28 Freshwater Place SOUTHBANK VIC 3006,3006,247,144.96228959535927,-37.8226720979
1105,598590,598590,720-750 Collins Street DOCKLANDS VIC 3008,3008,430,144.94933375867254,-37.81999948275
1110,608355,608355,364-378 Docklands Drive DOCKLANDS VIC 3008,3008,144,144.9418709101883,-37.8128637798
12,103998,103998,452-470 Flinders Street MELBOURNE VIC 3000,3000,296,144.95859968539995,-37.81946525809167
17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,3000,200,144.9717264012,-37.815461267220016
24,102092,102092,359-373 Collins Street MELBOURNE VIC 3000,3000,265,144.96244246255,-37.81728184554878
25,110857,110857,233-239 Collins Street MELBOURNE VIC 3000,3000,75,144.96610328424998,-37.81599220386811
97,105491,105491,58-66 La Trobe Street MELBOURNE VIC 3000,3000,23,144.9669434142,-37.80829650360967
1101,110843,110843,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,3008,583,144.95056413125002,-37.81450895670129
1110,618853,618853,396-416 Docklands Drive DOCKLANDS VIC 3008,3008,238,144.94004822717176,-37.8133266242
14,104007,104007,300-316 Flinders Street MELBOURNE VIC 3000,3000,574,144.96399584413615,-37.818057636549995
17,104025,104025,114-128 Flinders Street MELBOURNE VIC 3000,3000,1275,144.970755226,-37.81594139354704
22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,3000,536,144.95747025505,-37.81866072318769
27,597183,102071,Grand Hyatt Melbourne Retail 121-131 Collins Street MELBOURNE VIC 3000,3000,620,144.96980796645528,-37.81511565165
28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,3000,552,144.97262557265284,-37.81430518125
28,103969,103969,12-20 Flinders Lane MELBOURNE VIC 3000,3000,126,144.97357288295,-37.81424187562226
43,110146,110146,130-148 William Street MELBOURNE VIC 3000,3000,232,144.95890542796008,-37.81601087305
53,108074,108074,185-199 Queen Street MELBOURNE VIC 3000,3000,98,144.95996879856824,-37.814286305349995
93,105477,105477,378-392 La Trobe Street MELBOURNE VIC 3000,3000,262,144.95805069635,-37.81091259571215
104,108088,108088,382-406 Queen Street MELBOURNE VIC 3000,3000,548,144.95868352050002,-37.80943323220744
131,103979,103979,Melbourne Convention Centre Carpark 671-701 Flinders Street DOCKLANDS VIC 3008,3008,588,144.9521680991574,-37.8223274234
217,106193,106193,368-386 Lygon Street CARLTON VIC 3053,3053,154,144.96814846597175,-37.79803960305
748,108658,108658,312-318 St Kilda Road SOUTHBANK VIC 3006,3006,240,144.97068550387235,-37.82909021195
803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,3006,1390,144.95833415319856,-37.8231615915
806,110469,640947,Crown Casino Carpark 25-29 Clarke Street SOUTHBANK VIC 3006,3006,3100,144.95844221541506,-37.82540402895
